timestamp_utc,trial,repeat,requested_dm_yaw,requested_dm_upper_left,requested_dm_upper_right,commanded_dm_yaw,commanded_dm_upper_left,commanded_dm_upper_right,measured_dyaw,measured_dpitch,measured_droll,motor_yaw,motor_upper_left,motor_upper_right,motor_current_yaw,motor_current_upper_left,motor_current_upper_right
2026-03-30T19:36:15.625136+00:00,yaw_pos,0,0.04,0.0,0.0,0.040000000000000036,0.0,0.0,0.008469341093319259,-0.009339420360579664,-0.006382369618894912,6.089903831481934,2.0003108978271484,7.11153507232666,9.380000114440918,41.540000915527344,4.019999980926514
2026-03-30T19:36:16.121035+00:00,yaw_neg,0,-0.04,0.0,0.0,-0.040000000000000036,0.0,0.0,0.009744027796477484,-0.009577318516023281,-0.005189707003417716,6.010136604309082,2.0003108978271484,7.11153507232666,2.680000066757202,41.540000915527344,2.680000066757202
2026-03-30T19:36:16.616886+00:00,upper_common_pos,0,0.0,0.03,0.03,0.0,0.029999999999999805,0.03000000000000025,0.00839475621340786,-0.008692064148051903,-0.004156045999950566,6.051554203033447,2.0110487937927246,7.120738983154297,0.0,95.13999938964844,57.619998931884766
2026-03-30T19:36:17.113234+00:00,upper_common_neg,0,0.0,-0.03,-0.03,0.0,-0.030000000000000027,-0.03000000000000025,0.01827843003844862,-0.010087804958814006,-0.004069063996927397,6.051554203033447,1.969631314277649,7.073185443878174,0.0,40.20000076293945,24.1200008392334
2026-03-30T19:36:17.610101+00:00,upper_diff_pos,0,0.0,0.03,-0.03,0.0,0.029999999999999805,-0.03000000000000025,0.012322582968101093,-0.011124575030241113,5.576471740539185e-06,6.051554203033447,2.0079808235168457,7.073185443878174,0.0,105.86000061035156,24.1200008392334
2026-03-30T19:36:18.104973+00:00,upper_diff_neg,0,0.0,-0.03,0.03,0.0,-0.030000000000000027,0.03000000000000025,0.010069742021182751,-0.011125989415049053,-0.010105763714743048,6.051554203033447,1.969631314277649,7.117671012878418,0.0,45.560001373291016,67.0
2026-03-30T19:36:18.600924+00:00,yaw_pos,1,0.04,0.0,0.0,0.040000000000000036,0.0,0.0,0.0120698844656509,-0.00957327055040147,-0.006441331385781041,6.089903831481934,1.9819031953811646,7.102331161499023,6.699999809265137,91.12000274658203,28.139999389648438
2026-03-30T19:36:19.096651+00:00,yaw_neg,1,-0.04,0.0,0.0,-0.040000000000000036,0.0,0.0,0.013389862945821968,-0.010863908768637298,-0.008117569428071961,6.010136604309082,1.9819031953811646,7.102331161499023,4.019999980926514,91.12000274658203,28.139999389648438
2026-03-30T19:36:19.592763+00:00,upper_common_pos,1,0.0,0.03,0.03,0.0,0.029999999999999805,0.03000000000000025,0.008495058476700432,-0.008105193472421002,-0.007788906900874255,6.051554203033447,2.004912853240967,7.117671012878418,0.0,112.55999755859375,67.0
2026-03-30T19:36:20.088760+00:00,upper_common_neg,1,0.0,-0.03,-0.03,0.0,-0.030000000000000027,-0.03000000000000025,0.0191860011994479,-0.009229842075044958,-0.0041213984783529,6.051554203033447,1.969631314277649,7.073185443878174,0.0,45.560001373291016,24.1200008392334
2026-03-30T19:36:20.584892+00:00,upper_diff_pos,1,0.0,0.03,-0.03,0.0,0.029999999999999805,-0.03000000000000025,0.01727224553341958,-0.00876648494581933,-0.0034516570069047037,6.051554203033447,2.0064468383789062,7.073185443878174,0.0,108.54000091552734,24.1200008392334
2026-03-30T19:36:21.080720+00:00,upper_diff_neg,1,0.0,-0.03,0.03,0.0,-0.030000000000000027,0.03000000000000025,0.013931684668428743,-0.006966075895504575,-0.009304815289909278,6.051554203033447,1.969631314277649,7.117671012878418,0.0,45.560001373291016,67.0
2026-03-30T19:36:21.576383+00:00,yaw_pos,2,0.04,0.0,0.0,0.040000000000000036,0.0,0.0,0.012999007322053405,-0.0050450675581059645,-0.006984910032509541,6.089903831481934,1.9819031953811646,7.102331161499023,10.720000267028809,91.12000274658203,28.139999389648438
2026-03-30T19:36:22.076235+00:00,yaw_neg,2,-0.04,0.0,0.0,-0.040000000000000036,0.0,0.0,0.015454186897992609,-0.0052476930946436795,-0.008116806409775672,6.010136604309082,1.983437180519104,7.102331161499023,2.680000066757202,87.0999984741211,28.139999389648438
2026-03-30T19:36:22.568656+00:00,upper_common_pos,2,0.0,0.03,0.03,0.0,0.029999999999999805,0.03000000000000025,0.01245869528050589,-0.0040516666177718985,-0.005965984288733786,6.051554203033447,2.004912853240967,7.1161370277404785,0.0,112.55999755859375,71.0199966430664
2026-03-30T19:36:23.064215+00:00,upper_common_neg,2,0.0,-0.03,-0.03,0.0,-0.030000000000000027,-0.03000000000000025,0.017893105435327083,-0.005037571036192512,-0.0064400145621451264,6.051554203033447,1.969631314277649,7.073185443878174,0.0,45.560001373291016,24.1200008392334
2026-03-30T19:36:23.560661+00:00,upper_diff_pos,2,0.0,0.03,-0.03,0.0,0.029999999999999805,-0.03000000000000025,0.013682875302436264,-0.0032178512165863538,-0.0006022401155271776,6.051554203033447,2.0064468383789062,7.073185443878174,0.0,108.54000091552734,24.1200008392334
2026-03-30T19:36:24.056612+00:00,upper_diff_neg,2,0.0,-0.03,0.03,0.0,-0.030000000000000027,0.03000000000000025,0.014085396622903566,-0.0021812278307762334,-0.00906050891600646,6.051554203033447,1.969631314277649,7.117671012878418,0.0,45.560001373291016,65.66000366210938
